,Age,Gender,Education Level,Field,Years of Experience,Salary
5608,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5609,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5610,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5611,36.0,Female,PhD,Research and Analysis,12.0,160000.0
5612,25.0,Male,Bachelor's,Operations and Project Management,1.0,55000.0
5613,30.0,Female,Bachelor's,Sales and Marketing,5.0,85000.0
5614,34.0,Male,PhD,Management and Leadership,11.0,170000.0
5615,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5616,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5618,37.0,Male,Master's,Management and Leadership,14.0,180000.0
5619,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5620,33.0,Male,Master's,Software Development,9.0,120000.0
5621,26.0,Female,Bachelor's,Creative and Design,1.0,45000.0
5622,29.0,Male,Bachelor's,Operations and Project Management,5.0,80000.0
5623,35.0,Female,PhD,Research and Analysis,11.0,150000.0
5624,27.0,Male,Bachelor's,Software Development,2.0,65000.0
5625,31.0,Female,Bachelor's,Sales and Marketing,7.0,100000.0
5626,28.0,Male,Master's,Finance and Accounting,4.0,90000.0
5627,24.0,Female,Bachelor's,Sales and Marketing,0.0,40000.0
5628,30.0,Male,Bachelor's,Operations and Project Management,6.0,110000.0
5629,34.0,Female,PhD,Management and Leadership,12.0,170000.0
5630,27.0,Male,Bachelor's,Software Development,3.0,75000.0
5631,33.0,Female,Master's,Sales and Marketing,8.0,120000.0
5632,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5633,25.0,Female,High School,Customer Service and Support,1.0,30000.0
5634,36.0,Male,PhD,Research and Analysis,13.0,180000.0
5635,39.0,Female,Bachelor's,Finance and Accounting,15.0,200000.0
5636,26.0,Male,Bachelor's,Creative and Design,1.0,50000.0
5637,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5638,28.0,Male,Bachelor's,Sales and Marketing,3.0,65000.0
5639,32.0,Female,Bachelor's,Operations and Project Management,7.0,110000.0
5641,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5642,39.0,Female,Bachelor's,Finance and Accounting,16.0,210000.0
5643,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5644,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5645,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5646,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5647,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5648,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5649,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5650,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5651,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5652,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5653,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5655,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5656,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5657,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5658,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5659,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5660,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5661,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5662,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5663,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5664,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5665,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5666,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5667,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5669,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5670,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5671,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5672,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5673,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5674,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5675,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5676,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5677,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5678,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5679,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5680,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5681,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5683,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5684,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5685,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5686,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5687,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5688,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5689,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5690,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5691,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5692,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5693,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5694,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5695,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5697,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5698,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5699,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5700,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5701,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5702,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5703,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5704,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5705,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5706,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5707,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5708,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5709,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5711,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5712,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5713,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5714,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5715,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5716,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5717,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5718,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5719,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5720,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5721,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5722,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5723,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5725,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5726,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5727,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5728,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5729,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5730,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5731,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5732,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5733,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5734,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5735,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5736,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5737,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5739,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5740,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5741,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5742,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5743,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5744,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5745,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5746,29.0,Male,Bachelor's,Software Development,3.0,75000.0
5747,32.0,Female,Master's,Sales and Marketing,8.0,120000.0
5748,27.0,Male,Bachelor's,Operations and Project Management,2.0,65000.0
5749,30.0,Female,PhD,Research and Analysis,6.0,100000.0
5750,36.0,Male,Bachelor's,Finance and Accounting,11.0,150000.0
5751,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5752,33.0,Male,Master's,Software Development,9.0,120000.0
5753,26.0,Female,Bachelor's,Creative and Design,1.0,45000.0
5754,29.0,Male,Bachelor's,Operations and Project Management,5.0,80000.0
5755,35.0,Female,PhD,Research and Analysis,11.0,150000.0
5756,27.0,Male,Bachelor's,Software Development,2.0,65000.0
5757,31.0,Female,Bachelor's,Sales and Marketing,7.0,100000.0
5758,28.0,Male,Master's,Finance and Accounting,4.0,90000.0
5759,24.0,Female,Bachelor's,Sales and Marketing,0.0,40000.0
5760,30.0,Male,Bachelor's,Operations and Project Management,6.0,110000.0
5761,34.0,Female,PhD,Management and Leadership,12.0,170000.0
5762,27.0,Male,Bachelor's,Software Development,3.0,75000.0
5763,33.0,Female,Master's,Sales and Marketing,8.0,120000.0
5764,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5765,25.0,Female,High School,Customer Service and Support,1.0,30000.0
5766,36.0,Male,PhD,Research and Analysis,13.0,180000.0
5767,39.0,Female,Bachelor's,Finance and Accounting,15.0,200000.0
5768,26.0,Male,Bachelor's,Creative and Design,1.0,50000.0
5769,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5770,28.0,Male,Bachelor's,Sales and Marketing,3.0,65000.0
5771,32.0,Female,Bachelor's,Operations and Project Management,7.0,110000.0
5773,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5774,39.0,Female,Bachelor's,Finance and Accounting,16.0,210000.0
5775,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5776,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5777,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5778,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5779,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5780,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5781,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5782,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5783,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5784,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5785,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5787,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5788,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5789,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5790,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5791,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5792,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5793,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5794,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5795,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5796,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5797,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5798,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5799,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5801,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5802,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5803,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5804,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5805,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5806,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5807,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5808,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5809,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5810,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5811,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5812,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5813,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5815,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5816,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5817,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5818,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5819,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5820,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5821,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5822,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5823,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5824,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5825,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5826,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5827,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5829,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5830,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5831,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5832,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5833,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5834,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5835,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5836,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5837,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5838,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5839,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5840,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5841,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5843,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5844,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5845,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5846,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5847,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5848,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5849,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5850,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5851,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5852,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5853,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5854,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5855,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5857,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5858,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5859,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5860,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5861,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5862,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5863,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5864,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5865,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5866,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5867,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5868,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5869,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5871,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5872,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5873,27.0,Male,PhD,Sales and Marketing,7.0,120000.0
5874,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5875,33.0,Male,Master's,Software Development,8.0,120000.0
5876,27.0,Female,Bachelor's,Operations and Project Management,2.0,65000.0
5877,30.0,Male,PhD,Research and Analysis,6.0,100000.0
5878,36.0,Female,Bachelor's,Finance and Accounting,11.0,150000.0
5879,29.0,Male,Bachelor's,Sales and Marketing,3.0,65000.0
5880,32.0,Female,Master's,Software Development,9.0,120000.0
5881,26.0,Male,Bachelor's,Creative and Design,1.0,45000.0
5882,29.0,Female,Bachelor's,Operations and Project Management,5.0,80000.0
5883,35.0,Male,PhD,Research and Analysis,11.0,150000.0
5884,27.0,Male,Bachelor's,Software Development,2.0,65000.0
5885,31.0,Female,Bachelor's,Sales and Marketing,7.0,100000.0
5886,28.0,Male,Master's,Finance and Accounting,4.0,90000.0
5887,24.0,Female,Bachelor's,Sales and Marketing,0.0,40000.0
5888,30.0,Male,Bachelor's,Operations and Project Management,6.0,110000.0
5889,34.0,Female,PhD,Management and Leadership,12.0,170000.0
5890,27.0,Male,Bachelor's,Software Development,3.0,75000.0
5891,33.0,Female,Master's,Sales and Marketing,8.0,120000.0
5892,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5893,25.0,Female,High School,Customer Service and Support,1.0,30000.0
5894,36.0,Male,PhD,Research and Analysis,13.0,180000.0
5895,39.0,Female,Bachelor's,Finance and Accounting,15.0,200000.0
5896,26.0,Male,Bachelor's,Creative and Design,1.0,50000.0
5897,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5898,28.0,Male,Bachelor's,Sales and Marketing,3.0,65000.0
5899,32.0,Female,Bachelor's,Operations and Project Management,7.0,110000.0
5901,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5902,39.0,Female,Bachelor's,Finance and Accounting,16.0,210000.0
5903,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5904,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5905,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5906,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5907,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5908,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5909,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5910,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5911,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5912,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5913,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5915,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5916,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5917,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5918,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5919,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5920,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5921,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5922,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5923,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5924,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5925,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5926,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5927,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5929,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5930,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5931,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5932,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5933,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5934,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5935,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5936,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5937,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5938,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5939,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5940,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5941,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5943,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5944,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5945,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5946,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5947,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5948,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5949,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5950,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5951,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5952,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5953,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5954,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5955,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5957,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5958,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5959,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5960,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5961,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5962,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5963,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5964,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5965,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5966,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5967,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5968,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5969,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5971,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5972,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5973,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5974,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5975,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5976,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5977,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5978,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5979,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5980,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5981,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5982,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5983,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5985,37.0,Male,Master's,Management and Leadership,14.0,190000.0
5986,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
5987,26.0,Male,Bachelor's,Creative and Design,2.0,55000.0
5988,31.0,Female,PhD,Research and Analysis,8.0,140000.0
5989,29.0,Male,Bachelor's,Sales and Marketing,4.0,70000.0
5990,33.0,Female,Master's,Sales and Marketing,9.0,130000.0
5991,27.0,Male,Bachelor's,Software Development,3.0,80000.0
5992,36.0,Female,PhD,Research and Analysis,12.0,170000.0
5993,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
5994,30.0,Female,Bachelor's,Sales and Marketing,5.0,90000.0
5995,34.0,Male,PhD,Management and Leadership,11.0,160000.0
5996,28.0,Female,Bachelor's,Sales and Marketing,3.0,60000.0
5997,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
5999,37.0,Male,Master's,Management and Leadership,14.0,190000.0
6000,39.0,Female,Bachelor's,Finance and Accounting,16.0,200000.0
6001,29.0,Female,Bachelor's,Sales and Marketing,4.0,65000.0
6002,34.0,Male,Master's,Software Development,9.0,125000.0
6003,28.0,Female,Bachelor's,Operations and Project Management,3.0,70000.0
6004,31.0,Male,PhD,Research and Analysis,7.0,110000.0
6005,37.0,Female,Bachelor's,Finance and Accounting,12.0,160000.0
6006,30.0,Male,Bachelor's,Sales and Marketing,4.0,75000.0
6007,33.0,Female,Master's,Software Development,8.0,120000.0
6008,27.0,Male,Bachelor's,Creative and Design,2.0,50000.0
6009,30.0,Female,Bachelor's,Operations and Project Management,5.0,85000.0
6010,36.0,Male,PhD,Research and Analysis,11.0,155000.0
6011,28.0,Male,Bachelor's,Software Development,3.0,70000.0
6012,32.0,Female,Bachelor's,Sales and Marketing,8.0,115000.0
6013,29.0,Male,Master's,Finance and Accounting,5.0,95000.0
6014,25.0,Female,Bachelor's,Sales and Marketing,0.0,40000.0
6015,31.0,Male,Bachelor's,Operations and Project Management,6.0,115000.0
6016,35.0,Female,PhD,Management and Leadership,12.0,175000.0
6017,28.0,Male,Bachelor's,Software Development,3.0,70000.0
6018,33.0,Female,Master's,Sales and Marketing,9.0,135000.0
6019,29.0,Male,Bachelor's,Sales and Marketing,4.0,75000.0
6020,25.0,Female,High School,Customer Service and Support,1.0,30000.0
6021,36.0,Male,PhD,Research and Analysis,13.0,185000.0
6022,40.0,Female,Bachelor's,Finance and Accounting,15.0,210000.0
6023,27.0,Male,Bachelor's,Creative and Design,1.0,45000.0
6024,32.0,Female,PhD,Research and Analysis,9.0,145000.0
6025,28.0,Male,Bachelor's,Sales and Marketing,3.0,70000.0
6026,32.0,Female,Bachelor's,Operations and Project Management,7.0,120000.0
6028,38.0,Male,Master's,Management and Leadership,14.0,195000.0
6029,40.0,Female,Bachelor's,Finance and Accounting,16.0,215000.0
6030,27.0,Male,Bachelor's,Creative and Design,2.0,55000.0
6031,32.0,Female,PhD,Research and Analysis,9.0,145000.0
6032,29.0,Male,Bachelor's,Sales and Marketing,4.0,75000.0
6033,33.0,Female,Master's,Sales and Marketing,9.0,135000.0
6034,27.0,Male,Bachelor's,Software Development,3.0,80000.0
6035,36.0,Female,PhD,Research and Analysis,13.0,185000.0
6036,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
6037,30.0,Female,Bachelor's,Sales and Marketing,5.0,95000.0
6038,34.0,Male,PhD,Management and Leadership,12.0,170000.0
6039,28.0,Female,Bachelor's,Sales and Marketing,3.0,65000.0
6040,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
6042,38.0,Male,Master's,Management and Leadership,14.0,195000.0
6043,40.0,Female,Bachelor's,Finance and Accounting,16.0,215000.0
6044,27.0,Male,Bachelor's,Creative and Design,2.0,55000.0
6045,32.0,Female,PhD,Research and Analysis,9.0,145000.0
6046,29.0,Male,Bachelor's,Sales and Marketing,4.0,75000.0
6047,33.0,Female,Master's,Sales and Marketing,9.0,135000.0
6048,27.0,Male,Bachelor's,Software Development,3.0,80000.0
6049,36.0,Female,PhD,Research and Analysis,13.0,185000.0
6050,25.0,Male,Bachelor's,Operations and Project Management,1.0,60000.0
6051,30.0,Female,Bachelor's,Sales and Marketing,5.0,95000.0
6052,34.0,Male,PhD,Management and Leadership,12.0,170000.0
6053,28.0,Female,Bachelor's,Sales and Marketing,3.0,65000.0
6054,32.0,Male,Bachelor's,Operations and Project Management,7.0,120000.0
6056,38.0,Male,Master's,Management and Leadership,14.0,195000.0
6057,40.0,Female,Bachelor's,Finance and Accounting,16.0,215000.0
6058,27.0,Male,Bachelor's,Creative and Design,2.0,55000.0
